Land Area,Trade flow,Commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Madagascar,Import,Crustaceans,9,38,1,1,1,881,138,223,104,3,18,216,51,23,1,23
Madagascar,Import,Fish,13521,12637,17641,22733,16160,14728,29963,22379,14409,14752,18038,20289,14374,16816,20220,14949
Malawi,Export,Fish,42,34,26,43,42,128,585,32,34,15,21,67,49,23,14,12
Malawi,Import,Crustaceans,0,3,2,1,0,0,0,0,0,0,3,1,7,9,23,39
Malawi,Import,Fish,1485,345,244,583,703,426,1740,1734,3224,2103,1916,1316,1180,1669,2498,2628
Mali,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Mali,Export,Fish,761,950,1136,425,456,371,337,634,496,301,278,879,174,259,695,186
Mali,Import,Crustaceans,41,37,19,60,34,38,37,7,45,77,97,16,200,97,191,613
Mali,Import,Fish,2696,2923,2704,5500,6989,11014,12912,14606,15378,16246,23196,21902,20556,22137,32470,32461
Mauritania,Export,Crustaceans,781,1657,1286,1417,1041,1212,1201,1154,788,350,2955,4062,2226,1065,3163,2151
Mauritania,Export,Fish,66340,65376,79185,73287,53860,80540,72419,89426,119491,55580,99624,209019,288267,180262,219231,253061
Mauritania,Import,Crustaceans,0,0,0,0,0,0,11,0,3,0,0,3,0,37,100,51
Mauritania,Import,Fish,120,173,414,457,78,543,296,569,681,1433,2332,1921,2915,3104,4320,3770
Mauritius,Export,Crustaceans,0,0,0,210,1,0,8,5,0,0,0,0,0,1,0,0
Mauritius,Export,Fish,18152,27380,28940,32021,33266,36763,50027,49809,49060,50567,61195,54867,59053,59219,70009,63348
Mauritius,Import,Crustaceans,1243,1440,1190,1465,1450,1487,1341,1570,1593,1449,1483,1788,1766,1720,1714,1663
Mauritius,Import,Fish,39835,49428,81312,61120,78317,101705,148735,126327,147537,142573,139934,158800,146731,166243,178953,175715
Mayotte,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mayotte,Export,Fish,4,28,127,201,125,124,122,122,95,83,80,85,76,63,50,0
Mayotte,Import,Crustaceans,9,23,18,30,21,46,29,42,45,56,22,4,5,2,0,0
Mayotte,Import,Fish,591,797,1063,1088,956,1151,1227,1040,1656,1308,1209,1419,1208,1238,1229,1031
Morocco,Export,Crustaceans,12959,11420,10959,9639,7147,9279,9756,15876,14079,14547,14156,17398,16393,15965,17430,18930
Morocco,Export,Fish,129286,163860,193397,191453,174105,197415,270967,256940,286893,288770,279834,213072,278013,313393,311004,357348
Morocco,Import,Crustaceans,8351,5997,7079,8180,7358,8011,10641,22408,20240,19095,28881,35012,32824,32892,35972,39262
Morocco,Import,Fish,3939,5407,9888,11782,23499,22460,30808,23077,44698,24806,19397,19397,11958,15680,29638,30499
Mozambique,Export,Crustaceans,7265,6450,8835,6444,6205,7361,14617,10034,10041,8520,8315,4745,2510,4421,5889,3578
Mozambique,Export,Fish,3244,1946,2532,4265,6648,6669,1814,2249,1212,1033,1197,2825,4249,4816,8366,7831
Mozambique,Import,Crustaceans,80,1,1,1808,7,2,11,33,2,2,1,5,9,29,27,21
Mozambique,Import,Fish,5820,4274,6242,9220,12969,18721,16638,14411,19118,18394,16723,27350,26978,44928,50035,52352
Namibia,Export,Crustaceans,1346,1545,1389,1389,1645,1546,1306,1195,1503,2234,2126,2119,1802,1334,2476,2337
Namibia,Export,Fish,384992,311379,312572,308263,291353,253834,396990,323827,319026,337595,306847,348288,334441,386157,386445,416349
Namibia,Import,Crustaceans,47,43,65,42,64,187,378,452,428,1335,317,496,254,305,298,257
Namibia,Import,Fish,89079,33530,12854,15532,18025,14445,13937,19393,20543,31389,20641,13710,13175,14816,16119,20015
Niger,Export,Crustaceans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Niger,Export,Fish,1618,6676,8025,5905,3684,2260,681,287,449,405,556,815,831,1228,1367,658
Niger,Import,Crustaceans,2,1,0,5,0,1,0,1,1,2,5,3,2,2,3,20
Niger,Import,Fish,895,676,586,514,564,1244,2237,1542,2664,3409,3657,2856,3894,4814,5813,7462
Nigeria,Export,Crustaceans,2195,2340,2496,2114,3631,6902,15730,19956,10853,24690,23725,9399,9044,18350,11708,8576
Nigeria,Export,Fish,224,628,597,246,605,754,813,1169,688,204,300,22415,9270,63571,4040,3053
Nigeria,Import,Crustaceans,12,0,18,3,14,1,22,24,0,81,90,1671,385,1511,220,811
Nigeria,Import,Fish,311871,633387,543822,622965,778731,841741,1247871,999824,1042398,1108631,1330691,1589401,1083208,868036,992591,886643
Rwanda,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0
Rwanda,Export,Fish,0,0,0,0,0,38,0,92,310,555,253,120,317,173,1208,2098
Rwanda,Import,Crustaceans,5,0,1,3,0,0,0,0,1,3,3,2,3,2,5,2
Rwanda,Import,Fish,130,102,197,109,7,58,1342,2718,3599,4875,6897,11915,13300,12119,15205,23616
Saint Helena,Export,Crustaceans,145,192,196,97,144,160,150,131,171,264,339,186,249,300,244,281
Saint Helena,Export,Fish,160,355,309,229,336,572,478,596,790,510,372,694,387,419,428,624
Saint Helena,Import,Crustaceans,0,4,0,25,4,0,21,0,0,0,0,0,0,0,7,1
Saint Helena,Import,Fish,57,55,46,31,19,101,166,57,16,8,22,12,6,26,29,43
Sao Tome and Principe,Export,Crustaceans,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,Export,Fish,53,300,82,0,0,0,0,0,0,0,1,0,0,0,2,2
Sao Tome and Principe,Import,Crustaceans,0,0,0,0,0,1,2,1,8,4,4,4,8,8,6,7
Sao Tome and Principe,Import,Fish,19,0,3,7,5,3,29,19,33,27,28,51,43,45,44,28
Senegal,Export,Crustaceans,6909,7687,5970,5480,10684,9790,8695,7809,4741,4284,3551,4309,5284,4789,4249,4378
Senegal,Export,Fish,66526,63266,60109,68138,95012,74208,65782,87440,73125,78367,78034,92458,90520,124112,134315,173157
Senegal,Import,Crustaceans,66,49,120,24,35,69,21,6,14,80,74,77,104,146,19,65
Senegal,Import,Fish,606,392,158,265,447,438,375,880,1120,304,6354,14087,8437,8545,9470,19121
Seychelles,Export,Crustaceans,331,316,213,901,1111,786,619,364,331,23,1,0,0,0,0,8
Seychelles,Export,Fish,42096,62891,65520,128334,102306,114356,99635,94997,72241,72560,82478,105684,107426,97456,77485,106393
Seychelles,Import,Crustaceans,39,16,12,44,47,40,54,130,273,51,511,895,677,374,623,805
Seychelles,Import,Fish,19003,18770,32020,85882,81573,87331,91984,115920,35709,64103,70006,69927,62961,60914,67178,67708
Sierra Leone,Export,Crustaceans,1082,1154,2515,3299,2429,2536,1916,1721,1615,1591,1675,1583,1752,1550,1230,1200
Sierra Leone,Export,Fish,5496,5031,5080,3008,3080,3404,3552,3853,3768,3944,3942,4079,4310,3848,4209,4787
Sierra Leone,Import,Crustaceans,14,83,29,29,11,1,3,0,1,0,0,1,7,1,81,25
Sierra Leone,Import,Fish,726,955,645,1679,1249,1162,918,1754,1525,2038,972,1365,1072,1370,1622,915
Somalia,Export,Crustaceans,18,2,19,0,9,69,15,0,231,0,5,77,34,17,3,26
Somalia,Export,Fish,1101,1642,2867,1378,2243,2692,2010,2217,3152,4147,1133,1396,936,1235,1462,2106
Somalia,Import,Crustaceans,0,0,0,0,0,0,18,0,0,1,1,0,8,0,1,4
Somalia,Import,Fish,71,15,111,142,225,283,1117,684,907,1426,899,1365,1141,2004,2415,3734
South Africa,Export,Crustaceans,2271,2155,2611,2359,3351,4397,4204,2857,2412,3327,2690,2542,2930,3210,3306,2505
South Africa,Export,Fish,127000,136172,130521,118739,106464,123422,98084,94365,93436,111280,105576,108188,101227,105545,114387,92914
South Africa,Import,Crustaceans,2870,2990,2987,3157,5568,7941,8685,9534,8236,9472,7764,11215,10692,11391,10024,8025
South Africa,Import,Fish,16798,22255,21619,27254,35379,33663,38357,56368,70673,87184,75783,68809,111814,115984,166483,139926
South Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
South Sudan,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
South Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,144,289,252,179
Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,155,193,654,1120
Sudan,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,23,76,11,0
Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,2802,2856,2097,3033
Sudan (former),Export,Crustaceans,0,0,1,1,2,0,0,0,5,2,0,2,0,0,0,0
Sudan (former),Export,Fish,99,132,1159,1595,2556,2345,59,74,563,591,19,230,0,0,0,0
Sudan (former),Import,Crustaceans,0,0,0,0,0,1,19,3,40,76,129,67,0,0,0,0
Sudan (former),Import,Fish,240,169,446,266,46,125,1906,1676,1327,2324,2367,3257,0,0,0,0
Swaziland,Export,Crustaceans,453,400,438,512,919,536,36,0,0,0,0,0,1,0,0,0
Swaziland,Export,Fish,1110,724,731,492,908,457,96,69,59,24,20,20,2,0,1,1
Swaziland,Import,Crustaceans,558,306,415,624,712,375,236,90,62,0,1,31,17,29,26,24
Swaziland,Import,Fish,5169,3390,3040,4812,5887,3812,2287,1909,1169,1139,1114,1118,1106,1695,3026,2941
Tanzania, United Rep. of,Export,Crustaceans,1767,2067,2432,2874,2787,4004,1261,943,569,494,639,442,2454,888,673,1366
